VIN,predicted price,Stock #,Cab Type,Drivetrain,Rear Wheels,Fuel Type,Transmission,Color,Vehicle Trim
1GC5WLE79MF219893,33785.33,219893,Double,4x2,SRW,Gasoline,6-Speed Automatic,White,Work Truck
1GCPWDEK8MZ267337,38053.17,267337,Crew,4x2,SRW,Gasoline,8-Speed Automatic,Black,RST
3GCPWAEHXMG269190,43301.83,269190,Crew,4x2,SRW,Gasoline,6-Speed Automatic Electronic with Overdrive,Red,WT
1GCPWDED2MZ270204,38053.17,270204,Crew,4x2,SRW,Gasoline,8-Speed Automatic,Silver,RST
3GCPWCED5MG279148,38053.17,279148,Crew,4x2,SRW,Gasoline,8-Speed Automatic,Gray,LT
3GCUYGED9MG281988,51303.33,281988,Crew,4x4,SRW,Gasoline,8-Speed Automatic,Gray,LTZ
1GCPWCED9MZ274664,38053.17,274664,Crew,4x2,SRW,Gasoline,8-Speed Automatic,Gray,LT
3GCPWDED7MG277617,38053.17,277617,Crew,4x2,SRW,Gasoline,8-Speed Automatic,Black,RST
3GCPWDED1MG278570,38053.17,278570,Crew,4x2,SRW,Gasoline,8-Speed Automatic,Black,RST
3GCPWCED9MG277161,38053.17,277161,Crew,4x2,SRW,Gasoline,8-Speed Automatic,Black,LT
3GCPWCEDXMG283891,38053.17,283891,Crew,4x2,SRW,Gasoline,8-Speed Automatic,White,LT
3GCPWBEK7MG273733,42379.5,273733,Crew,4x2,SRW,Gasoline,8-Speed Automatic,White,Custom
3GCPWDED3MG280448,38053.17,280448,Crew,4x2,SRW,Gasoline,8-Speed Automatic,Gray,RST
1GCPWCED2MZ148016,38053.17,148016,Crew,4x2,SRW,Gasoline,8-Speed Automatic,Black,LT
1GC0WLE70MF211885,41809.0,211885,Regular,4x2,SRW,Gasoline,6-Speed Automatic,White,Work Truck
1GCPWCED0MZ275556,38053.17,275556,Crew,4x2,SRW,Gasoline,8-Speed Automatic,Gray,LT
3GCPWCET6MG284477,43315.0,284477DT,Crew,4x2,SRW,Diesel,10-Speed Automatic,Gray,LT
3GTP1NEJ4HG169603,38053.17,00A10155,Crew,4x2,SRW,Gasoline,8-Speed Automatic with Overdrive,White,SLT
1FTEW1EG1JKD56933,57883.33,00A10227,SuperCrew,4x4,SRW,Gasoline,10-Speed Automatic,Black,Lariat
1FT7W2BT6KEG19028,46374.5,00022810,Crew,4x4,SRW,Diesel,TorqShift 6-Speed Automatic,Blue,Lariat
1FTEW1C89HKE20089,44075.67,00022722,SuperCrew,4x2,SRW,Flex Fuel,6-Speed Automatic Electronic,Blue,XL
