VIN,price,Stock #,Mileage,Cab Type,Drivetrain,Fuel Type,Transmission,Color,Vehicle Trim,Rear Wheels,Cab-to-Axle
1C6SRFHT5MN612159,70750.0,MN612159,,Crew,4x4,Gasoline,,,Limited,SRW,
3C6UR5DL1MG543083,75710.0,MG543083,,Crew,4x4,Diesel,,,Big Horn,SRW,
3C6UR5FL6MG543089,74760.0,MG543089,,Crew,4x4,Diesel,,,Laramie,SRW,
1C6SRFPT8MN607099,62989.0,MN607099,,Crew,4x4,Gasoline,,,Limited,SRW,
1C6SRFJTXMN526288,59985.0,MN526288,,Crew,4x4,Gasoline,,,Laramie,SRW,
1C6SRFJT4MN698297,52805.0,MN698297,,Crew,4x4,Gasoline,,,Laramie,SRW,
3C63RRJL0MG589124,77400.0,MG589124,,Crew,4x4,Diesel,,,Laramie,DRW,
3C63R3JL8MG549421,84805.0,MG549421,,Crew,4x4,Diesel,,,Laramie,SRW,
3C6UR5DL0MG557606,67715.0,MG557606,,Crew,4x4,Diesel,,,Big Horn,SRW,
1C6SRFFT3MN524293,56065.0,MN524293,,Crew,4x4,Gasoline,,,Big Horn,SRW,
3C6TR5CJ1MG501699,54070.0,MG501699,,Crew,4x4,Gasoline,,,Tradesman,SRW,
3C6UR5FL8MG542915,73565.0,MG542915,,Crew,4x4,Diesel,,,Laramie,SRW,
1C6SRFJT7MN616580,67090.0,MN616580,,Crew,4x4,Gasoline,,,Laramie,SRW,
3C63RRGL3MG565813,59060.0,MG565813,,Crew,4x4,Diesel,,,Tradesman,DRW,
1C6SRFPT4MN607102,66570.0,MN607102,,Crew,4x4,Gasoline,,,Limited,SRW,
1C6SRFHT6MN655022,71485.0,MN655022,,Crew,4x4,Gasoline,,,Limited,SRW,
1C6SRFFT5MN546604,58798.0,MN546604,,Crew,4x4,Gasoline,,,Big Horn,SRW,
1C6SRFJT6MN678519,52950.0,MN678519,,Crew,4x4,Gasoline,,,Laramie,SRW,
1C6SRFJT2MN678534,58030.0,MN678534,,Crew,4x4,Gasoline,,,Laramie,SRW,
1C6SRFJT0MN698295,52705.0,MN698295,,Crew,4x4,Gasoline,,,Laramie,SRW,
3C6TR5EJ0MG501755,61345.0,MG501755,,Crew,4x4,Gasoline,,,Power Wagon,SRW,
1C6SRFFM1MN586333,53750.0,MN586333,,Crew,4x4,Diesel,,,Big Horn,SRW,
3C6UR5DL3MG557602,67715.0,MG557602,,Crew,4x4,Diesel,,,Big Horn,SRW,
1C6SRFJT5MN678530,58030.0,MN678530,,Crew,4x4,Gasoline,,,Laramie,SRW,
3C63R3RL0MG549403,84505.0,MG549403,,Crew,4x4,Diesel,,,Limited,SRW,
3C6UR5FL1MG543095,74760.0,MG543095,,Crew,4x4,Diesel,,,Laramie,SRW,
1C6SRFJM1MN577350,62489.0,MN577350,,Crew,4x4,Diesel,,,Laramie,SRW,
1C6SRFHT8MN602645,66170.0,MN602645,,Crew,4x4,Gasoline,,,Limited,SRW,
1C6SRFPT2MN578411,68650.0,MN578411,,Crew,4x4,Gasoline,,,Limited,SRW,
3C6UR5FL7MG543781,76700.0,MG543781,,Crew,4x4,Diesel,,,Laramie,SRW,
3C6TR5CJ4MG501700,54270.0,MG501700,,Crew,4x4,Gasoline,,,Tradesman,SRW,
3C6UR5FL3MG560979,75195.0,MG560979,,Crew,4x4,Diesel,,,Laramie,SRW,
1C6SRFRT0MN512999,62909.0,MN512999,,Crew,4x4,Gasoline,,,Laramie,SRW,
1C6SRFHT5MN602649,66270.0,MN602649,,Crew,4x4,Gasoline,,,Limited,SRW,
3C6UR5FL9MG543782,76800.0,MG543782,,Crew,4x4,Diesel,,,Laramie,SRW,
1FTEW1EP8MFA41866,43425.0,21F137,,SuperCrew,4x4,Gasoline,Automatic 10-Speed,Oxford White,XL,SRW,
1C6SRFJTXMN654692,60385.0,MN654692,,Crew,4x4,Gasoline,,,Laramie,SRW,
1C6SRFRT8MN676288,51710.0,MN676288,,Crew,4x4,Gasoline,,,Laramie,SRW,
1C6SRFHT6MN602644,66170.0,MN602644,,Crew,4x4,Gasoline,,,Limited,SRW,
3C63RRGL1MG565812,58960.0,MG565812,,Crew,4x4,Diesel,,,Tradesman,DRW,
3C6UR5FL5MG543780,76900.0,MG543780,,Crew,4x4,Diesel,,,Laramie,SRW,
1C6SRFFM2MN612910,61265.0,MN612910,,Crew,4x4,Diesel,,,Big Horn,SRW,
1C6SRFJT6MN698298,52905.0,MN698298,,Crew,4x4,Gasoline,,,Laramie,SRW,
1C6SRFHM3MN704878,74055.0,MN704878,,Crew,4x4,Diesel,,,Limited,SRW,
1C6SRFRT4MN595174,55696.0,MN595174,,Crew,4x4,Gasoline,,,Laramie,SRW,
1C6SRFRT4MN676286,51710.0,MN676286,,Crew,4x4,Gasoline,,,Laramie,SRW,
1C6SRFLT5MN566193,61080.0,MN566193,,Crew,4x4,Gasoline,,,Rebel,SRW,
1C6SRFHT3MN612161,71250.0,MN612161,,Crew,4x4,Gasoline,,,Limited,SRW,
3C6UR5DL9MG557605,67615.0,MG557605,,Crew,4x4,Diesel,,,Big Horn,SRW,
1C6SRFJM1MN585187,62085.0,MN585187,,Crew,4x4,Diesel,,,Laramie,SRW,
1C6SRFJT4MN678518,52950.0,MN678518,,Crew,4x4,Gasoline,,,Laramie,SRW,
3C6UR5FLXMG543094,74860.0,MG543094,,Crew,4x4,Diesel,,,Laramie,SRW,
1C6SRFLT4MN580294,52670.0,MN580294,,Crew,4x4,Gasoline,,,Rebel,SRW,
1C6SRFJT2MN698296,52805.0,MN698296,,Crew,4x4,Gasoline,,,Laramie,SRW,
3C63R3HL6MG574775,67110.0,MG574775,,Crew,4x4,Diesel,,,Big Horn,SRW,
1C6SRFFT9MN664266,52165.0,MN664266,,Crew,4x4,Gasoline,,,Big Horn,SRW,
3C63RRJL8MG567324,74875.0,MG567324,,Crew,4x4,Diesel,,,Laramie,DRW,
1C6SRFJT7MN678528,58130.0,MN678528,,Crew,4x4,Gasoline,,,Laramie,SRW,
1C6SRFRT1MN546997,64360.0,MN546997,,Crew,4x4,Gasoline,,,Laramie,SRW,
1C6SRFJT2MN678520,53050.0,MN678520,,Crew,4x4,Gasoline,,,Laramie,SRW,
3C63RRJLXMG540030,74270.0,MG540030,,Crew,4x4,Diesel,,,Laramie,DRW,
3C63R3HL8MG574776,67210.0,MG574776,,Crew,4x4,Diesel,,,Big Horn,SRW,
3C63R3HL8MG571831,72370.0,MG571831,,Crew,4x4,Diesel,,,Big Horn,SRW,
1C6SRFKM7MN613556,70989.0,MN613556,,Crew,4x4,Diesel,,,Laramie Longhorn,SRW,
1C6SRFRT2MN595173,55304.0,MN595173,,Crew,4x4,Gasoline,,,Laramie,SRW,
3C6TR5CJ6MG501701,54170.0,MG501701,,Crew,4x4,Gasoline,,,Tradesman,SRW,
3C63RRJL6MG567323,74775.0,MG567323,,Crew,4x4,Diesel,,,Laramie,DRW,
3C6TR5EJ0MG531855,60685.0,MG531855,,Crew,4x4,Gasoline,,,Power Wagon,SRW,
